

gen best mean std
0 56.986285 -2.552935 9.071618
1 66.194865 58.264182 3.135398
2 75.023649 62.05956 4.986209
3 75.219256 66.853901 2.560737
4 75.219256 67.871828 3.565629
5 75.219256 69.506857 4.305668
6 75.306268 71.166252 4.338649
7 86.179688 74.716888 2.518238
8 86.179688 75.95747 2.908962
9 86.179688 76.8342 3.843745
10 86.959358 78.001406 4.558524
11 86.959358 80.726249 5.156317
12 87.139358 85.092833 2.345484
13 87.250675 86.35728 0.279689
14 87.537882 86.478039 0.321157
15 88.819688 86.69393 0.389859
16 88.819688 86.910339 0.467056
17 88.819688 87.266091 0.455726
18 89.17004 87.501826 0.52411
19 88.983229 87.728671 0.586233
20 88.983229 87.975206 0.551072
21 88.983229 88.05242 0.540833
22 89.299688 88.432505 0.387989
23 89.411732 88.742366 0.282222
24 89.608354 88.907952 0.190253
